onet_code,occupation_title,annual_10th,annual_25th,annual_median,annual_75th,annual_90th,data_source,data_year,bls_link
11-1011.00,"Chief Executives",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes111011.htm
11-1021.00,"General and Operations Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes111021.htm
11-1031.00,"Legislators",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes111031.htm
11-2011.00,"Advertising and Promotions Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes112011.htm
11-2021.00,"Marketing Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes112021.htm
11-2022.00,"Sales Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes112022.htm
11-2032.00,"Public Relations Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes112032.htm
11-2033.00,"Fundraising Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes112033.htm
11-3012.00,"Administrative Services Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes113012.htm
11-3013.00,"Facilities Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes113013.htm
11-3021.00,"Computer and Information Systems Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes113021.htm
11-3031.00,"Financial Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes113031.htm
11-3051.00,"Industrial Production Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes113051.htm
11-3061.00,"Purchasing Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes113061.htm
11-3071.00,"Transportation, Storage, and Distribution Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes113071.htm
11-3111.00,"Compensation and Benefits Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes113111.htm
11-3121.00,"Human Resources Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes113121.htm
11-3131.00,"Training and Development Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes113131.htm
11-9013.00,"Farmers, Ranchers, and Other Agricultural Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119013.htm
11-9021.00,"Construction Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119021.htm
11-9031.00,"Education and Childcare Administrators, Preschool and Daycare",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119031.htm
11-9032.00,"Education Administrators, Kindergarten through Secondary",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119032.htm
11-9033.00,"Education Administrators, Postsecondary",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119033.htm
11-9039.00,"Education Administrators, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119039.htm
11-9041.00,"Architectural and Engineering Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119041.htm
11-9051.00,"Food Service Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119051.htm
11-9071.00,"Gambling Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119071.htm
11-9072.00,"Entertainment and Recreation Managers, Except Gambling",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119072.htm
11-9081.00,"Lodging Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119081.htm
11-9111.00,"Medical and Health Services Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119111.htm
11-9121.00,"Natural Sciences Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119121.htm
11-9131.00,"Postmasters and Mail Superintendents",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119131.htm
11-9141.00,"Property, Real Estate, and Community Association Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119141.htm
11-9151.00,"Social and Community Service Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119151.htm
11-9161.00,"Emergency Management Directors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119161.htm
11-9171.00,"Funeral Home Managers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119171.htm
11-9179.00,"Personal Service Managers, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119179.htm
11-9199.00,"Managers, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes119199.htm
13-1011.00,"Agents and Business Managers of Artists, Performers, and Athletes",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131011.htm
13-1021.00,"Buyers and Purchasing Agents, Farm Products",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131021.htm
13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131022.htm
13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131023.htm
13-1031.00,"Claims Adjusters, Examiners, and Investigators",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131031.htm
13-1032.00,"Insurance Appraisers, Auto Damage",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131032.htm
13-1041.00,"Compliance Officers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131041.htm
13-1051.00,"Cost Estimators",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131051.htm
13-1071.00,"Human Resources Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131071.htm
13-1074.00,"Farm Labor Contractors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131074.htm
13-1075.00,"Labor Relations Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131075.htm
13-1081.00,"Logisticians",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131081.htm
13-1082.00,"Project Management Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131082.htm
13-1111.00,"Management Analysts",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131111.htm
13-1121.00,"Meeting, Convention, and Event Planners",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131121.htm
13-1131.00,"Fundraisers",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131131.htm
13-1141.00,"Compensation, Benefits, and Job Analysis Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131141.htm
13-1151.00,"Training and Development Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131151.htm
13-1161.00,"Market Research Analysts and Marketing Specialists",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131161.htm
13-1199.00,"Business Operations Specialists, All Other",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes131199.htm
13-2011.00,"Accountants and Auditors",,,,,,BLS OEWS 2024 - National,2024,https://www.bls.gov/oes/current/oes132011.htm
