training_k,manager_prog,flexibility,cost_k,manager_good,flex_hybrid,flex_remote,wtp_gain_k,roi
0,0,onsite,0,0,0,0,0,NA
0,0,hybrid,0.3,0,1,0,7.111683493875262,23.705611646250873
0,0,remote,0.5,0,0,1,5.845069098022229,11.690138196044458
0,1,onsite,1.5,1,0,0,14.697120808989629,9.798080539326419
0,1,hybrid,1.8,1,1,0,21.80880430286489,12.116002390480494
0,1,remote,2,1,0,1,20.54218990701186,10.27109495350593
2,0,onsite,2,0,0,0,5.227528499553331,2.6137642497766653
2,0,hybrid,2.3,0,1,0,12.339211993428592,5.364874779751562
2,0,remote,2.5,0,0,1,11.07259759757556,4.429039039030224
2,1,onsite,3.5,1,0,0,19.92464930854296,5.6927569452979885
2,1,hybrid,3.8,1,1,0,27.036332802418222,7.114824421689006
2,1,remote,4,1,0,1,25.76971840656519,6.442429601641297
5,0,onsite,5,0,0,0,13.068821248883328,2.6137642497766658
5,0,hybrid,5.3,0,1,0,20.18050474275859,3.8076424042940737
5,0,remote,5.5,0,0,1,18.913890346905557,3.4388891539828284
5,1,onsite,6.5,1,0,0,27.76594205787296,4.2716833935189165
5,1,hybrid,6.8,1,1,0,34.87762555174822,5.1290625811394435
5,1,remote,7,1,0,1,33.611011155895184,4.80157302227074
